"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 09 23:39:15 UTC 2021","Sat Oct 09 23:39:16 UTC 2021","761","","search.SearchTests","","search.SearchTests","searchForPartialTitle","searchForPartialTitle()",""
"passed","Sat Oct 09 23:39:16 UTC 2021","Sat Oct 09 23:39:17 UTC 2021","727","","search.SearchTests","","search.SearchTests","searchForExactTitle","searchForExactTitle()",""
