"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 04 23:37:46 UTC 2021","Mon Oct 04 23:37:47 UTC 2021","720","","search.SearchTests","","search.SearchTests","searchForPartialTitle","searchForPartialTitle()",""
"passed","Mon Oct 04 23:37:47 UTC 2021","Mon Oct 04 23:37:48 UTC 2021","715","","search.SearchTests","","search.SearchTests","searchForExactTitle","searchForExactTitle()",""
